Well Number,Month of Production,Days,BBLS Oil,BBLS Water,MCF Prod
25414,4-2018,30,3130,2522,1365
25414,3-2018,31,3390,3894,1588
25414,2-2018,28,2935,3108,2038
25414,1-2018,30,3799,3968,3159
25414,12-2017,30,3400,4623,536
25430,4-2018,30,1408,3404,1152
25430,3-2018,31,1464,3081,1015
25430,2-2018,25,1681,1787,1069
25430,1-2018,28,1767,1742,1178
25430,12-2017,31,1816,1857,1428
25430,11-2017,30,1714,1959,1647
17434,5-2018,31,797,131,884
17434,4-2018,30,851,157,954
17434,3-2018,31,942,149,1006
17434,2-2018,28,897,63,1026
17434,1-2018,31,969,112,1023
17434,12-2017,29,719,684,586
17929,5-2018,31,581,597,546
17929,4-2018,24,500,1062,379
17929,3-2018,0,0,0,0
17929,2-2018,23,382,224,435
17929,1-2018,31,532,483,576
17929,12-2017,31,550,501,502
17940,5-2018,31,11676,7444,4935
17940,4-2018,19,6816,8853,2689
17940,3-2018,19,6690,5953,3735
17940,2-2018,24,9105,9480,4833
17940,1-2018,30,15035,16952,8351
17940,12-2017,31,19139,37343,9084
18158,5-2018,30,593,190,766
18158,4-2018,30,558,160,683
18158,3-2018,31,602,178,756
18158,2-2018,28,554,109,513
18158,1-2018,30,655,259,455
18158,12-2017,31,592,417,351
18885,5-2018,31,963,954,995
18885,4-2018,30,886,789,814
18885,3-2018,31,886,873,1028
18885,2-2018,28,940,978,820
18885,1-2018,31,1035,765,602
18885,12-2017,31,900,874,555
18886,5-2018,31,869,421,1172
18886,4-2018,30,780,389,937
18886,3-2018,31,879,659,1036
18886,2-2018,28,815,614,857
18886,1-2018,31,878,621,860
18886,12-2017,31,884,815,811
18991,5-2018,31,7249,2710,5795
18991,4-2018,30,7751,1909,6551
18991,3-2018,31,9499,4845,7703
18991,2-2018,28,10262,6284,5739
18991,1-2018,17,8535,5360,4248
18991,12-2017,18,8074,10298,3569
19467,5-2018,31,753,781,887
19467,4-2018,30,712,710,624
19467,3-2018,31,765,614,756
19467,2-2018,28,698,589,658
19467,1-2018,31,780,593,839
19467,12-2017,31,793,499,458
19630,5-2018,31,968,725,1198
19630,4-2018,30,963,729,935
19630,3-2018,31,1037,740,1045
19630,2-2018,28,1005,618,879
19630,1-2018,31,1153,690,1051
19630,12-2017,31,891,981,564
19683,5-2018,31,1211,2569,701
19683,4-2018,30,1089,2395,670
19683,3-2018,31,1204,2732,452
19683,2-2018,7,68,2613,26
19683,1-2018,16,5049,9988,2968
19683,12-2017,31,15789,43360,8446
20271,5-2018,24,7293,10348,4056
20271,4-2018,30,10172,13879,5120
20271,3-2018,16,6088,9085,3564
20271,2-2018,23,8117,11207,4809
20271,1-2018,31,11712,26148,7510
20271,12-2017,31,13474,40361,8808
20289,5-2018,31,1199,330,1470
20289,4-2018,30,1757,435,1686
20289,3-2018,31,1766,487,1551
20289,2-2018,28,1750,487,1385
20289,1-2018,31,1942,539,1536
20289,12-2017,31,2029,463,1751
20290,5-2018,31,1577,379,1345
20290,4-2018,30,1594,492,1501
20290,3-2018,31,1739,578,1575
20290,2-2018,20,1445,367,1336
20290,1-2018,31,2073,470,1922
20290,12-2017,31,1741,591,1478
20291,5-2018,31,1826,729,1842
20291,4-2018,30,1680,686,1650
20291,3-2018,31,1846,721,1775
20291,2-2018,28,1788,701,1611
20291,1-2018,31,1921,769,1600
20291,12-2017,31,2138,815,1773
21091,5-2018,31,637,483,1340
21091,4-2018,30,492,356,887
21091,3-2018,31,743,344,626
21091,2-2018,28,556,332,568
21091,1-2018,31,596,351,485
21091,12-2017,31,667,486,405
21092,5-2018,31,696,507,421
21092,4-2018,30,653,417,531
21092,3-2018,31,671,408,785
21092,2-2018,28,708,320,553
21092,1-2018,31,824,508,746
21092,12-2017,31,725,386,653
21093,5-2018,31,1299,846,974
21093,4-2018,30,1256,891,995
21093,3-2018,31,1311,903,596
21093,2-2018,28,1303,890,516
21093,1-2018,31,1453,1005,808
21093,12-2017,31,1508,983,734
21116,5-2018,31,550,518,1160
21116,4-2018,30,680,758,852
21116,3-2018,31,775,624,726
21116,2-2018,28,532,425,938
21116,1-2018,30,558,579,993
21116,12-2017,30,486,676,828
21824,5-2018,31,531,549,455
21824,4-2018,30,374,244,665
21824,3-2018,31,338,368,751
21824,2-2018,28,526,472,380
21824,1-2018,31,627,474,272
21824,12-2017,31,633,481,421
22718,5-2018,31,801,302,1439
22718,4-2018,30,566,240,1136
22718,3-2018,31,702,341,1244
22718,2-2018,28,732,289,1015
22718,1-2018,31,779,332,1024
22718,12-2017,31,717,590,1032
24419,5-2018,31,1525,2762,1465
24419,4-2018,30,1520,2569,1259
24419,3-2018,31,1494,2796,1312
24419,2-2018,28,1491,2198,1023
24419,1-2018,31,1516,2612,1125
24419,12-2017,31,1472,3772,1008
24420,5-2018,31,516,458,609
24420,4-2018,30,514,431,479
24420,3-2018,31,542,750,548
24420,2-2018,28,569,1176,575
24420,1-2018,30,557,863,581
24420,12-2017,30,564,423,288
24421,5-2018,31,1118,1167,1203
24421,4-2018,30,1104,1170,1205
24421,3-2018,31,1344,804,1236
24421,2-2018,28,1293,688,1069
24421,1-2018,31,1163,951,1028
24421,12-2017,31,1337,1093,840
18027,4-2018,1,0,0,0
18027,3-2018,0,0,0,0
18027,2-2018,0,0,0,0
18027,1-2018,0,0,0,0
18027,12-2017,0,0,0,0
18027,11-2017,0,0,0,0
18331,5-2018,0,0,0,0
18331,4-2018,0,0,0,0
18331,3-2018,0,0,0,0
18331,2-2018,4,0,0,1
18331,1-2018,31,1,6,15
18331,12-2017,31,1818,149,10
18595,4-2018,28,1445,790,1307
18595,3-2018,18,1077,618,968
18595,2-2018,0,0,0,0
18595,1-2018,29,1344,658,1309
18595,12-2017,29,2019,987,1837
18595,11-2017,9,385,317,369
